source,target,weight
dangalfaruq,vidio,1
dahbhujug,bukanhoaxxx,1
dahbhujug,vidio,1
arfan1978,ginanjartamtomo,1
arfan1978,bhulukhuduktv,1
arfan1978,vidio,1
azwardiacla,Inter,1
azwardiacla,vidio,1
vidio,txtdarioren,1
oliberriannn,vidio,1
miaamalia24,TriyadiBondan,1
just_anonym883,TokopediaCare,1
just_anonym883,vidio,1
Rannayahh,thejurgenholic,1
rizsetiawibawa,vidio,1
vidio,PMskk15,1
yourmoera,vidio,1
Indorowo,BetaKopites,1
TriyadiBondan,vidio,1
vidio,rizatomawa,1
CalonImammu477,BadmintonTalk,1
CalonImammu477,vidio,1
BibiJoane,BetaKopites,1
BibiJoane,vidio,1
Febrian71885830,vidio,1
muh_irfani17,REALSJWOO,1
vidio,ginanjartamtomo,1
sasuka_chelsea,KABAR_CHELSEA,1
sasuka_chelsea,vidio,1
kalokalou13826,KABAR_CHELSEA,1
kalokalou13826,vidio,1
yourmoera,BadmintonTalk,1
wei_youno,vidio,1
REALSJWOO,aldimsyarif27,1
vidio,manggitgaris,1
manggitgaris,vidio,1
Febrian71885830,kaminarinafas,1
Febrian71885830,febhrian,1
Febrian71885830,GIBOLofficial,1
Febrian71885830,PSSI,1
miaamalia24,vidio,1
TriyadiBondan,BadmintonTalk,1
vidio,titootito,1
hidahidaan,BetaKopites,1
hidahidaan,vidio,1
oliberriannn,BetaKopites,1
vidio,nengdarma,1
teakabdul,bhulukhuduktv,1
asnianoy,BadmintonTalk,1
asnianoy,vidio,1
andriandjaya_,vidio,1
JaengelsYo79322,pakbudbugs,1
JaengelsYo79322,BadmintonTalk,1
JaengelsYo79322,vidio,1
andumberrr,bhulukhuduktv,1
miaamalia24,BadmintonTalk,1
vidio,grecynda_,1
ayiiSANTOSO,BadmintonTalk,1
ayiiSANTOSO,vidio,1
rizki_kaut18799,bhulukhuduktv,1
rizki_kaut18799,vidio,1
KABAR_CHELSEA,Vidio,1
22daris__,BadmintonTalk,1
22daris__,vidio,1
PMskk15,VidioSports,1
vidio,20051020_,1
20051020_,bhulukhuduktv,1
20051020_,vidio,1
vidio,mbuIiee,1
Yunita_Parandan,BadmintonTalk,1
Yunita_Parandan,vidio,1
vidio,Adhirizkyputra,1
wahjoewebee,utdfocusid,1
